Dumping particle list:
 0: error
 183: rd_robot_explosion_trail_smoke2
 184: ExplosionCore_Wall_Jumper
 185: ExplosionCore_MidAir_Jumper
 186: taunt_gasblast_01
 187: player_recent_teleport_red
 188: player_glowred
 189: player_dripsred
 190: player_glowblue
 191: player_recent_teleport_blue
 192: player_drips_blue
 193: player_sparkles_red
 194: player_sparkles_blue
 195: bot_drips_cheap
 196: bot_recent_teleport_blue
 197: doublejump_puff
 198: doublejump_trail
 199: doublejump_smoke
 200: deflect_fx
 201: deflect_temp
 202: rocketjump_smoke
 203: rocketjump_flame
 204: rocketjump_flash
 205: doublejump_smoke_alt
 206: doublejump_trail_alt
 207: doublejump_puff_alt
 208: rocketbackblast
 209: rocketbackblastsparks
 210: _flamethrower_REAL
 211: flamethrower_fire_1
 212: flamethrower_pilot
 213: flamethrower_drips
 214: flamethrower_crit_red
 215: flamethrower_crit_pilot_red
 216: flamethrower_crit_red_glow
 217: flamethrower_crit_red_sparks
 218: flamethrower_underwater
 219: pyrotaunt_glow
 220: flamethrower_crit_pilot_blue
 221: pyrotaunt
 222: pyrotaunt_flame
 223: pyrotaunt_powerup
 224: flamethrower_crit_blue_glow
 225: flamethrower_crit_blue_sparks2
 226: flamethrower_blue
 227: flamethrower_crit_blue
 228: pyro_blast
 229: pyro_blast_lines
 230: pyro_blast_warp
 231: pyro_blast_warp2
 232: pyro_blast_flash
 233: flaregun_destroyed
 234: flaregun_destroyed_bits
 235: pyrotaunt_rainbow
 236: pyrotaunt_rainbow_arc
 237: pyrotaunt_rainbow_arc_v4A
 238: pyrotaunt_rainbow_arc_v4A_rope
 239: pyrotaunt_rainbow_stars
 240: pyrotaunt_rainbow_explosion01
 241: pyrotaunt_rainbow_explosion02
 242: pyrotaunt_rainbow_explosion03
 243: pyrotaunt_rainbow_arc_v4B
 244: pyrotaunt_rainbow_arc_v4B_rope
 245: pyrotaunt_rainbow_sun
 246: pyrotaunt_rainbow_balloonicorn
 247: pyrotaunt_rainbow_explosion_unicorn
 248: pyrotaunt_rainbow_sunglow
 249: pyrotaunt_rainbow_rof
 250: pyrotaunt_rainbow_rof_ground
 251: pyrotaunt_rainbow_rof_embers
 252: pyrotaunt_rainbow_rof_expand
 253: pyrotaunt_rainbow_SIDEA
 254: pyrotaunt_rainbow_ARCA
 255: pyrotaunt_rainbow_arc_child
 256: pyrotaunt_rainbow_ARCB
 257: pyrotaunt_rainbow_SIDEB
 258: pyrotaunt_rainbow_TOP
 259: flamethrower_rainbow_REAL
 260: flamethrower_rainbow_bubbles01
 261: flamethrower_rainbow_bubbles02
 262: flamethrower_fire_1_rainbow
 263: flamethrower_pilot_rainbow
 264: flamethrower_drips_rainbow
 265: pyrotaunt_rainbow_arc_rot
 266: pyrotaunt_rainbow_arc_rotB
 267: pyrotaunt_rainbow_arc_rotA
 268: pyrotaunt_rainbow_arc_v3A
 269: pyrotaunt_rainbow_arc_v3B
 270: pyrotaunt_rainbow_arc_v4_rope
 271: pyrotaunt_rainbow_bubbles
 272: flamethrower_rainbow_FP_BACKUP
 273: flamethrower_rainbow_swirl
 274: flamethrower_rainbow_swirl_stars
 275: torch_red_core_1
 276: flamethrower
 277: pyrotaunt_rainbow_balloonicorn_
 278: flamethrower_rainbow_FP_BACKUP2
 279: flamethrower_rainbow_FP
 280: flamethrower_rainbow_FP_body
 281: pyrotaunt_rainbow_bubbles_flame
 282: pyrotaunt_rainbow_norainbow
 283: pyrotaunt_rainbow_norainbow_smoke01
 284: pyrotaunt_rainbow_norainbow_smoke02
 285: flamethrower_halloween_crit_blue
 286: flamethrower_rainbow
 287: flamethrower_halloween
 288: flamethrower_halloween_crit_red
 289: flamethrower_rope
 290: flamethrower_pilot_rope
 291: flamethrower_drips_rope
 292: flamethrower_fire_1_rope
 293: torch_player_burn
 294: torch_red_temp
 295: flamethrower_fire_singular
 296: taunt_pyro_gasblast_fireblast
 297: new_flame
 298: new_flame_core
 299: new_flame_drips_a
 300: new_flame_drips_b
 301: new_flame_pilot
 302: new_flame_fan
 303: new_flame_fan_core
 304: new_flame_fan_drips_a
 305: new_flame_fan_drips_b
 306: new_flame_rope
 307: new_flame_crit_blue
 308: new_flame_crit_blue_glow
 309: new_flame_crit_blue_sparks
 310: new_flame_crit_blue_drips_b
 311: new_flame_crit_red
 312: new_flame_crit_red_glow
 313: new_flame_crit_red_sparks
 314: new_flame_crit_red_drips_b
 315: new_flame_fan_crit_blue
 316: new_flame_fan_crit_red
 317: taunt_pyro_gasblast_rainbow
 318: new_flame_waterfall
 319: new_flame_waterfall_core
 320: new_flame_waterfall_pilot
 321: projectile_fireball
 322: projectile_fireball_end_explosion_flash
 323: projectile_fireball_end_center
 324: projectile_fireball_fireball
 325: projectile_fireball_smokeball
 326: projectile_fireball_smokepuff
 327: projectile_fireball_trail
 328: projectile_fireball_center
 329: projectile_fireball_ring_fire
 330: projectile_fireball_smoke
 331: projectile_fireball_end
 332: projectile_fireball_end_ring_fire
 333: flamethrower_halloween_crit_red_new_flame
 334: new_flame_core_halloween
 335: projectile_fireball_end_ring_smoke
 336: flamethrower_halloween_new_flame
 337: flamethrower_halloween_crit_blue_new_flame
 338: dragons_fury_effect
 339: dragons_fury_effect_glow
 340: dragons_fury_effect_parent
 341: dragons_fury_FloatieEmbers
 342: muzzle_dragons_fury
 343: projectile_fireball_crit_blue_sparks
 344: projectile_fireball_crit_blue
 345: projectile_fireball_crit_blue_trail
 346: projectile_fireball_crit_red
 347: projectile_fireball_crit_red_trail
 348: projectile_fireball_crit_red_sparks
 349: flamethrower_rainbow_new_flame
 350: flamethrower_rainbow_new_flame_stars
 351: flamethrower_rainbow_new_flame_pilot
 352: projectile_fireball_pyrovision
 353: projectile_fireball_fireball_pyrovision
 354: projectile_fireball_smokeball_pyrovision
 355: projectile_fireball_smokepuff_pyrovision
 356: projectile_fireball_trail_pyrovision
 357: flamethrower_giant_mvm
 358: flamethrower_fire_1_giant_mvm
 359: flamethrower_pilot_giant_mvm
 360: flamethrower_drips_giant_mvm
 361: flamethrower_crit_giant_mvm
 362: flamethrower_crit_glow_giant_mvm
 363: flamethrower_crit_sparks2_giant_mvm
 364: flamethrower_crit_pilot_giant_mvm
 365: flamethrower_giant_mvm_new_flame
 366: flamethrower_crit_giant_mvm_new_flame
 367: burningplayer_smoke_blue
 368: burningplayer_smoke
 369: burningplayer_corpse
 370: burningplayer_corpseglow
 371: burningplayer_glow
 372: burningplayer_glow_blue
 373: burningplayer_blue
 374: burningplayer_blueglow
 375: burningplayer_flyingbits
 376: burningplayer_red
 377: burninggibs
 378: electrocuted_blue
 379: electrocuted_blue_flash
 380: electrocuted_gibbed_blue
 381: electrocuted_gibbed_blue_flash
 382: electrocuted_red
 383: electrocuted_red_flash
 384: electrocuted_gibbed_red
 385: electrocuted_gibbed_red_flash
 386: burning_torch
 387: flaming_arrow
 388: flaming_arrow_smoke
 389: v_flaming_arrow_smoke
 390: v_flaming_arrow
 391: flying_flaming_arrow
 392: flying_flaming_arrow_smoke
 393: ghost_pumpkin
 394: ghost_pumpkin_blueglow
 395: ghost_pumpkin_flyingbits
 396: burningplayer_rainbow_OLD
 397: burningplayer_rainbow_stars
 398: burningplayer_rainbow_v2
 399: burningplayer_rainbow
 400: burningplayer_rainbow_glow
 401: burningplayer_rainbow_glow_white
 402: burningplayer_rainbow_stars01
 403: burningplayer_rainbow_stars02
 404: burningplayer_rainbow_stars03
 405: burningplayer_rainbow_stars04
 406: burningplayer_rainbow_glow_old
 407: burningplayer_rainbow_flame
 408: _brushstroke
 409: burningplayer_rainbow_stars_base
 410: burningplayer_rainbow_stroke
 411: pyrovision_flaming_arrow
 412: burningplayer_corpse_rainbow
 413: burningplayer_corpse_rainbow_glow
 414: burningplayer_corpse_rainbow_glow_white
 415: burningplayer_corpse_rainbow_stars
 416: pyrovision_v_flaming_arrow
 417: pyrovision_flying_flaming_arrow
 418: burningplayer_rainbow_red
 419: burningplayer_redglow
 420: burningplayer_rainbow_blue
 421: halloween_burningplayer_flyingbits
 422: flaming_slap
 423: flaming_slap_handglow
 424: flaming_slap_2
 425: flaming_slap_3
 426: blood_impact_red_01_goop
 427: blood_impact_red_01_droplets
 428: blood_impact_red_01
 429: blood_impact_red_01_chunk
 430: blood_impact_red_01_smalldroplets
 431: blood_spray_red_01
 432: water_blood_impact_red_01
 433: water_blood_impact_red_01_chunk
 434: water_blood_impact_red_01_goop
 435: blood_spray_red_01_far
 436: lowV_blood_impact_red_01
 437: lowV_smallerchunks
 438: lowV_debrischunks
 439: lowV_oildroplets
 440: lowv_sparks1
 441: lowV_impactglow
 442: lowV_blood_spray_red_01
 443: temp_blood_spray_red_01_far
 444: temp_blood_spray_red_01
 445: lowV_blood_spray_red_01_far
 446: lowV_water_blood_impact_red_01
 447: lowV_water_debris
 448: lowV_water_bubbles
 449: env_sawblood
 450: env_sawblood_mist
 451: env_sawblood_chunk
 452: env_sawblood_goop
 453: blood_decap
 454: blood_decap_arterial_spray
 455: blood_decap_streaks
 456: blood_decap_fountain
 457: env_grinder_oilspray
 458: env_grinder_oilspray_cash
 459: tfc_sniper_mist
 460: tfc_sniper_mist2
 461: tfc_sniper_mist_dir
 462: tfc_sniper_mist_streaks
 463: blood_impact_backscatter_ring
 464: blood_impact_green_01
 465: blood_impact_green_01_droplets
 466: blood_impact_green_01_goop
 467: blood_bread_biting
 468: blood_bread_biting2
 469: blood_impact_backscatter
 470: blood_trail_red_01_goop
 471: blood_trail_red_01_droplets
 472: muzzle_shotgun
 473: muzzle_shotgun_sparks
 474: muzzle_shotgun_smoke
 475: muzzle_shotgun_flash
 476: muzzle_grenadelauncher
 477: muzzle_grenadelauncher_core
 478: muzzle_grenadelauncher_embers
 479: muzzle_minigun_flare
 480: muzzle_minigun
 481: muzzle_minigun_starflash01
 482: muzzle_minigun_core
 483: muzzle_minigun_sparks
 484: muzzle_minigun_smoke
 485: muzzle_scattergun_flash
 486: muzzle_pistol
 487: muzzle_pistol_sparks
 488: muzzle_pistol_smoke
 489: muzzle_scattergun
 490: muzzle_smg
 491: muzzle_smg_sparks
 492: muzzle_revolver
 493: muzzle_sniperrifle
 494: muzzle_syringe
 495: muzzle_sentry
 496: muzzle_sentry2
 497: muzzle_pipelauncher
 498: muzzle_minigun_constant
 499: muzzle_minigun_constant_core
 500: muzzle_minigun_constant_sparks
 501: muzzle_minigun_constant_starflash
 502: muzzle_minigun_constant_smoke
 503: muzzle_minigun_constant_flare
 504: muzzle_bignasty
 505: muzzle_bignasty_flash
 506: muzzle_bignasty_sparks
 507: teleported_red
 508: teleported_flash
 509: teleported_blue
 510: teleportedin_red
 511: teleportedin_blue
 512: teleported_mvm_bot
 513: teleported_mvm_bot_skyglow
 514: teleported_mvm_bot_outerbeam
 515: teleported_mvm_bot_core
 516: teleported_mvm_bot_dirt
 517: teleported_mvm_bot_flash
 518: teleported_mvm_bot_groundflash
 519: teleported_mvm_bot_skyflash
 520: teleported_mvm_bot_trails
 521: teleported_mvm_bot_dust
 522: teleported_mvm_bot_glowdust
 523: teleporter_mvm_bot_persist_bits1
 524: teleporter_mvm_bot_persist
 525: teleporter_mvm_bot_persist_skyglow
 526: teleporter_mvm_bot_persist_ring01
 527: teleporter_mvm_bot_persist_dirt
 528: teleporter_mvm_bot_persist_core
 529: teleported_mvm_bot_bits
 530: teleported_mvm_bot_rings
 531: teleported_mvm_bot_rings2
 532: teleported_mvm_bot_clouds1
 533: teleported_mvm_bot_clouds2
 534: teleporter_mvm_bot_persist_clouds1
 535: teleporter_mvm_bot_persist_clouds2
 536: teleporter_mvm_bot_ring
 537: teleported_mvm_bot_rings3
 538: cig_smoke
 539: cig_burn
 540: drg_pipe_smoke
 541: crit_text
 542: achieved
 543: mini_fireworks
 544: mini_firework_flare
 545: miss_text
 546: minicrit_text
 547: hit_text
 548: heal_text
 549: doubledonk_text
 550: stomp_text
 551: dispenser_heal_red
 552: medicgun_beam_red_muzzle
 553: medicgun_beam_red_drips
 554: dispenser_beam_red_pluses
 555: dispenser_beam_red_trail
 556: medicgun_beam_red_healing
 557: medicgun_beam_red_pluses
 558: medicgun_beam_red_invun
 559: medicgun_beam_red_trail_stage1
 560: medicgun_beam_red_trail_stage2
 561: medicgun_beam_red_trail_stage3
 562: medicgun_beam_red_invulnbright
 563: medicgun_beam_red_invunglow
 564: medicgun_beam_red_trail
 565: medicgun_beam_blue_trail
 566: dispenser_beam_blue_pluses
 567: medicgun_beam_blue_drips
 568: medicgun_beam_blue_healing
 569: medicgun_beam_blue_pluses
 570: dispenser_heal_blue
 571: medicgun_beam_blue_muzzle
 572: dispenser_beam_blue_trail
 573: medicgun_beam_blue_invun
 574: medicgun_beam_blue_trail_stage1
 575: medicgun_beam_blue_trail_stage2
 576: medicgun_beam_blue_trail_stage3
 577: medicgun_beam_blue_invunglow
 578: medicgun_beam_blue_invulnbright
 579: medicgun_invulnstatus_fullcharge_red
 580: medicgun_invulnstatus_fullcharge_blue
 581: medicgun_beam_blue
 582: medicgun_beam_red
 583: medicgun_beam_blue_marker
 584: medicgun_beam_red_marker
 585: medicgun_beam_red_targeted
 586: medicgun_beam_blue_targeted
 587: vaccinator_red_beam2
 588: vaccinator_red_beam2_icons
 589: vaccinator_red_beam3
 590: vaccinator_red_beam3_icons
 591: vaccinator_blue_beam1
 592: vaccinator_blue_beam1_icons
 593: vaccinator_red_beam1
 594: vaccinator_red_beam1_icons
 595: vaccinator_blue_beam2
 596: vaccinator_blue_beam2_icons
 597: vaccinator_blue_beam3
 598: vaccinator_blue_beam3_icons
 599: vaccinator_red_buff1
 600: vaccinator_red_buff2
 601: vaccinator_red_buff3
 602: vaccinator_blue_buff1
 603: vaccinator_blue_buff2
 604: vaccinator_blue_buff3
 605: vaccinator_blue_buff1_burst
 606: vaccinator_blue_buff2_burst
 607: vaccinator_blue_buff3_burst
 608: vaccinator_red_buff1_burst
 609: vaccinator_red_buff2_burst
 610: vaccinator_red_buff3_burst
 611: medicgun_beam_machinery
 612: medicgun_beam_machinery_drips
 613: medicgun_beam_machinery_healing
 614: medicgun_beam_machinery_muzzle
 615: medicgun_beam_machinery_pluses
 616: medicgun_beam_machinery_stage1
 617: medicgun_beam_machinery_stage2
 618: medicgun_beam_machinery_stage3
 619: sparks_metal
 620: sparks_metal_2
 621: fireSmokeExplosion4
 622: fireSmokeExplosion_trackb
 623: fireSmoke_collumn
 624: fluidSmokeExpl_track
 625: fluidSmokeExpl_ring
 626: explosionTrail_seeds
 627: explosion_trailFire
 628: explosion_trailSmoke
 629: woodSplinter
 630: fireSmokeExplosion3
 631: fireSmokeExplosion_track
 632: fireSmokeExplosion2
 633: fireSmokeExplosion
 634: fireSmoke_collumnP
 635: fire_smokeCloud
 636: explosionTrail_seeds_mvm
 637: explosion_trailFire_mvm
 638: explosion_trailSmoke_mvm
 639: fluidSmokeExpl_ring_mvm
 640: fireSmoke_Collumn_mvmAcres
 641: fireSmoke_Collumn_mvmAcres_sm
 642: woodSplinter_standee
 643: woodSmoke
 644: target_break
 645: target_break_child_puff
 646: target_break_initial_dust
 647: taunt_flip_land
 648: taunt_flip_land_dust2
 649: taunt_flip_land_dust
 650: taunt_flip_land_ring
 651: water_splash01
 652: water_splash01_droplets
 653: water_splash01_playerripple
 654: water_splash01_column
 655: water_splash01_ripple
 656: water_splash01_bullet
 657: water_splash01_cluster
 658: water_bulletsplash01
 659: env_rain_001_mist_256
 660: water_playerwake_static
 661: water_playerwake_moving
 662: water_playerdive
 663: water_playerdive_bubbles
 664: water_playeremerge
 665: water_bulletsplash01_cheap
 666: water_burning_steam
 667: snow_steppuff01
 668: snow_steppuff_mist
 669: waterfall_rocksplash
 670: waterfall_mist
 671: waterfall_sides
 672: waterfall_bottomwaves
 673: waterfall_bottommist
 674: waterfall_bottomsplash
 675: waterfall_rocksplash_2
 676: water_objectwake
 677: env_rain_001
 678: env_rain_001_streaks
 679: env_rain_001_mist
 680: env_rain_gutterdrip
 681: env_rain_ripples
 682: env_rain_guttersplash
 683: env_rain_002_256
 684: env_rain_001_streaks_256
 685: water_bulletsplash01_minigun
 686: env_snow_light_001
 687: env_rain_splashripple
 688: env_rain_splashring
 689: water_splash_croc_spawn
 690: water_splash_croc_spawn_ripple
 691: water_splash_croc_spawn_droplets
 692: water_splash_croc_spawn_column
 693: stickybombtrail_red
 694: stickybombtrail_blue
 695: critical_grenade_blue
 696: critical_grenade_blue_extra
 697: critical_grenade_blue_glow
 698: critical_grenade_red
 699: critical_grenade_red_extra
 700: critical_grenade_red_glow
 701: stickybomb_pulse_blue
 702: stickybomb_pulse_red
 703: pipebomb_timer_blue
 704: pipebomb_timer_red
 705: pipebombtrail_red
 706: pipebombtrail_blue
 707: critical_pipe_red
 708: critical_pipe_blue
 709: stunballtrail_blue
 710: stunballtrail_red
 711: stunballtrail_blue_crit
 712: stunballtrail_red_crit
 713: buildingdamage_fire2
 714: buildingdamage_smoke1
 715: buildingdamage_sparks2
 716: buildingdamage_sparks1
 717: buildingdamage_smoke2
 718: buildingdamage_fire3
 719: buildingdamage_smoke4
 720: buildingdamage_smoke3
 721: sentrydamage_4
 722: sentrydamage_3
 723: sentrydamage_1
 724: sentrydamage_2
 725: tpdamage_1
 726: tpdamage_2
 727: tpdamage_3
 728: tpdamage_smoke1
 729: buildingdamage_sparks4
 730: tpdamage_4
 731: dispenserdamage_4
 732: dispensersmoke_1
 733: dispensersmoke_2
 734: buildingdamage_dispenser_fire1
 735: dispenserdamage_1
 736: dispenserdamage_3
 737: buildingdamage_dispenser_fire0
 738: dispenserdamage_2
 739: buildingdamage_fire1
 740: nutsnbolts_build
 741: nutsnbolts_repair
 742: nutsnbolts_upgrade
 743: nailtrails_medic_red
 744: nailtrails_medic_blue
 745: nailtrails_medic_blue_crit
 746: nailtrails_medic_red_crit
 747: speech_typing
 748: speech_mediccall
 749: speech_medichurt
 750: speech_mediccall_attention
 751: speech_voice
 752: speech_mediccall_auto
 753: speech_revivecall
 754: speech_revivecall_medium
 755: speech_revivecall_hard
 756: speech_taunt_all
 757: speech_taunt_all_repeat
 758: speech_taunt_red
 759: speech_taunt_red_repeat
 760: speech_taunt_blue
 761: speech_taunt_blue_repeat
 762: speech_mission_attention
 763: speech_mission
 764: bullet_tracer01
 765: bullet_tracer01_crit
 766: bullet_tracer01_blue
 767: bullet_tracer01_red
 768: bullet_tracer01_blue_crit
 769: bullet_impact1_blue_crit
 770: bullet_impact1_blue_critglow
 771: bullet_tracer01_red_crit
 772: bullet_impact1_red_crit
 773: bullet_impact1_red_critglow
 774: bullet_shotgun_tracer01_blue
 775: bullet_shotgun_tracer01_red
 776: bullet_pistol_tracer01_blue
 777: bullet_pistol_tracer01_red
 778: bullet_scattergun_tracer01_blue
 779: bullet_scattergun_impact01
 780: bullet_scattergun_tracer01_red
 781: bullet_scattergun_tracer01_blue_crit
 782: bullet_scattergun_tracer01_red_crit
 783: bullet_pistol_tracer01_blue_crit
 784: bullet_pistol_tracer01_red_crit
 785: bullet_shotgun_tracer01_blue_crit
 786: bullet_shotgun_tracer01_red_crit
 787: bullet_bignasty_tracer01_red
 788: bullet_bignasty_impact_chunks
 789: bullet_bignasty_tracer01_blue
 790: bullet_bignasty_tracer01_blue_crit
 791: bullet_bignasty_tracer01_red_crit
 792: bullet_tracer02_blue
 793: bullet_tracer02_red
 794: bullet_tracer02_red_crit
 795: bullet_tracer02_blue_crit
 796: tfc_sniper_distortion_trail
 797: tfc_sniper_distortion_trail_noise
 798: particle_nemesis_blue
 799: particle_nemesis_burst_blue
 800: particle_nemesis_red
 801: particle_nemesis_burst_red
 802: spy_start_disguise_red
 803: disguise_flash_red
 804: spy_start_disguise_blue
 805: disguise_flash_blue
 806: spy_stolen_smoke_blue
 807: spy_stolen_flash_blue
 808: spy_stolen_smoke_red
 809: spy_stolen_flash_red
 810: spark_electric01
 811: spark_electric01_embers
 812: sapper_sentry1_fx
 813: sapper_sentry1_sparks1
 814: sapper_sentry1_sparks2
 815: candle_light1
 816: candle_light2
 817: sparks_powerline_red
 818: sparks_powerline_red_glow
 819: sparks_powerline_blue
 820: sparks_powerline_blue_glow
 821: powercore_embers_red
 822: powercore_flash_red
 823: powercore_flash2_red
 824: powercore_alert_red
 825: powercore_alert_blue
 826: powercore_flash_blue
 827: powercore_flash2_blue
 828: powercore_embers_blue
 829: rd_bot_impact_sparks
 830: rd_bot_impact_glow
 831: rd_bot_impact_sparks2
 832: player_intel_papertrail
 833: cart_flashinglight_light_red
 834: player_intel_trail_blue
 835: cart_flashinglight_light
 836: cart_flashinglight_glow
 837: cart_flashinglight
 838: cart_flashinglight_red
 839: cart_flashinglight_glow_red
 840: player_intel_trail_red
 841: player_australium_socktrail
 842: player_australium_boxertrail
 843: player_australium_sparkles
 844: eject_minigunbrass
 845: medicgun_beam_attrib_drips
 846: medicgun_beam_attrib_shards
 847: medicgun_beam_attrib_overheal
 848: medicgun_beam_attrib_healing
 849: medicgun_beam_attrib_muzzle
 850: overhealedplayer_red_pluses
 851: overhealedplayer_blue_pluses
 852: medicgun_beam_attrib_overheal_blue
 853: medicgun_beam_attrib_overheal_red
 854: drain_effect
 855: bonersaw_temp
 856: bread_gloves_goop
 857: bread_gloves_droplets
 858: bread_sapper_green_goop
 859: healthgained_blu
 860: healthgained_red
 861: sandwich_fx
 862: sandwich_lettuce
 863: sandwich_cheese
 864: sandwich_meat
 865: tfc_sniper_charge_red
 866: energydrink_splash
 867: peejar_drips
 868: peejar_impact
 869: peejar_impact_bits
 870: peejar_impact_cloud
 871: peejar_groundsplash
 872: peejar_impact_milk
 873: peejar_impact_bits_milk
 874: peejar_impact_cloud_milk
 875: peejar_groundsplash_milk
 876: healhuff_blu
 877: healhuff_blu_mist
 878: healhuff_red_mist
 879: healhuff_red
 880: peejar_trail_red
 881: peejar_trail_red_glow
 882: peejar_trail_blu
 883: peejar_trail_blu_glow
 884: bread_gloves_crumbs
